INFO 2024-04-17 15:51:49,682 basehttp 7636 20252 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 87533
INFO 2024-04-17 15:51:49,684 basehttp 7636 18744 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2024-04-17 15:51:49,686 basehttp 7636 17840 "GET /static/admin/simpleui-x/js/axios.min.js HTTP/1.1" 200 14237
INFO 2024-04-17 15:51:51,142 basehttp 7636 18744 "GET /admin/auth/user/ HTTP/1.1" 200 35002
INFO 2024-04-17 15:51:51,155 basehttp 7636 17840 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2024-04-17 15:51:51,162 basehttp 7636 18744 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-04-17 15:51:51,234 basehttp 7636 18744 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2024-04-17 15:52:07,064 basehttp 7636 18744 "GET /static/admin/simpleui-x/theme/highdmin.css HTTP/1.1" 200 4375
INFO 2024-04-17 15:52:14,927 basehttp 7636 18744 "GET /admin/password_change/?dialog=1 HTTP/1.1" 200 7532
INFO 2024-04-17 15:52:14,935 basehttp 7636 18744 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2024-04-17 15:52:14,980 basehttp 7636 18744 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11800
INFO 2024-04-17 16:09:13,246 autoreload 7636 13824 E:\BaiduSyncdisk\djangoPro\djangoTest1\user\models.py changed, reloading.
INFO 2024-04-17 16:09:13,789 autoreload 18140 18548 Watching for file changes with StatReloader
INFO 2024-04-17 16:10:10,299 autoreload 18140 18548 E:\BaiduSyncdisk\djangoPro\djangoTest1\user\models.py changed, reloading.
INFO 2024-04-17 16:10:10,744 autoreload 7472 20408 Watching for file changes with StatReloader
INFO 2024-04-17 16:38:01,757 autoreload 7472 20408 E:\BaiduSyncdisk\djangoPro\djangoTest1\user\models.py changed, reloading.
INFO 2024-04-17 16:38:02,225 autoreload 6168 18236 Watching for file changes with StatReloader
INFO 2024-04-17 16:39:14,749 autoreload 6168 18236 E:\BaiduSyncdisk\djangoPro\djangoTest1\user\models.py changed, reloading.
INFO 2024-04-17 16:39:15,216 autoreload 1636 7364 Watching for file changes with StatReloader
